DATE,LNS12000001
2018-01-01,82257
2018-02-01,82692
2018-03-01,82679
2018-04-01,82696
2018-05-01,82785
2018-06-01,82612
2018-07-01,82690
2018-08-01,82549
2018-09-01,82649
2018-10-01,82804
2018-11-01,83024
2018-12-01,82969
2019-01-01,82998
2019-02-01,83147
2019-03-01,83120
2019-04-01,83047
2019-05-01,83248
2019-06-01,83406
2019-07-01,83672
2019-08-01,83571
2019-09-01,83704
2019-10-01,83667
2019-11-01,83958
2019-12-01,83995
2020-01-01,83897
2020-02-01,83867
2020-03-01,82302
2020-04-01,71892
2020-05-01,73694
2020-06-01,75656
2020-07-01,76256
2020-08-01,78213
2020-09-01,78663
2020-10-01,79537
2020-11-01,79267
2020-12-01,79481
2021-01-01,79714
2021-02-01,79666
2021-03-01,79681
2021-04-01,80017
2021-05-01,80062
2021-06-01,80176
2021-07-01,80712
2021-08-01,81100
2021-09-01,81501
