DATE,LNU05000000
2018-01-01,96743
2018-02-01,95439
2018-03-01,95549
2018-04-01,95992
2018-05-01,95689
2018-06-01,94365
2018-07-01,94109
2018-08-01,96157
2018-09-01,96332
2018-10-01,95792
2018-11-01,96043
2018-12-01,96378
2019-01-01,96135
2019-02-01,95599
2019-03-01,95714
2019-04-01,96596
2019-05-01,96207
2019-06-01,94917
2019-07-01,94284
2019-08-01,95413
2019-09-01,95694
2019-10-01,95269
2019-11-01,95634
2019-12-01,96174
2020-01-01,96004
2020-02-01,95393
2020-03-01,97221
2020-04-01,104066
2020-05-01,102072
2020-06-01,99321
2020-07-01,98998
2020-08-01,99592
2020-09-01,100670
2020-10-01,99872
2020-11-01,100617
2020-12-01,101213
2021-01-01,101618
2021-02-01,100910
2021-03-01,100606
2021-04-01,100723
2021-05-01,100603
2021-06-01,99172
2021-07-01,98653
2021-08-01,99823
2021-09-01,100373
