DATE,LNS12000002
2018-01-01,72238
2018-02-01,72483
2018-03-01,72588
2018-04-01,72667
2018-05-01,72903
2018-06-01,73156
2018-07-01,73496
2018-08-01,73018
2018-09-01,73299
2018-10-01,73502
2018-11-01,73574
2018-12-01,73776
2019-01-01,73628
2019-02-01,73757
2019-03-01,73689
2019-04-01,73695
2019-05-01,73635
2019-06-01,73726
2019-07-01,73945
2019-08-01,74290
2019-09-01,74526
2019-10-01,74688
2019-11-01,74582
2019-12-01,74740
2020-01-01,74762
2020-02-01,74865
2020-03-01,73234
2020-04-01,61478
2020-05-01,63530
2020-06-01,66444
2020-07-01,67520
2020-08-01,69063
2020-09-01,68880
2020-10-01,70131
2020-11-01,70542
2020-12-01,70350
2021-01-01,70316
2021-02-01,70572
2021-03-01,71167
2021-04-01,71159
2021-05-01,71557
2021-06-01,71426
2021-07-01,71934
2021-08-01,72054
2021-09-01,72179
